Opportunity Name,Stage,Close Date,Amount,Type,Lead Source,Description
Royal Furniture Order 57,Proposal/Price Quote,2026-01-19,382370,Existing Customer - Replacement,Trade Show,Consumer appliance bulk order
Modern Lifestyle Order 58,Prospecting,2026-06-13,113652,Existing Customer - Replacement,Phone Inquiry,Consumer appliance bulk order
Royal Groceries Order 59,Closed Won,2026-06-28,440834,New Customer,Email Campaign,Store expansion procurement order
Quick Furniture Order 60,Closed Lost,2026-10-25,122916,New Customer,Web,Bulk wholesale inventory purchase
Value Lifestyle Order 61,Closed Won,2026-07-17,169990,Existing Customer - Replacement,Email Campaign,Store expansion procurement order
Urban Electronics Order 62,Proposal/Price Quote,2026-10-26,127978,Existing Customer - Upgrade,Trade Show,Fashion retail seasonal order
Smart Furniture Order 63,Closed Lost,2026-01-07,53973,Existing Customer - Upgrade,Partner Referral,Retail electronics purchase order
Smart Mobile Order 64,Needs Analysis,2026-05-25,248547,Existing Customer - Replacement,Web,Consumer appliance bulk order
Fresh Electronics Order 65,Prospecting,2026-02-21,460518,Existing Customer - Replacement,Email Campaign,Fashion retail seasonal order
Smart Electronics Order 66,Negotiation/Review,2026-01-01,484632,Existing Customer - Replacement,Email Campaign,Consumer appliance bulk order
Metro Electronics Order 67,Closed Won,2026-06-14,336570,Existing Customer - Replacement,Partner Referral,Retail electronics purchase order
Value Lifestyle Order 68,Negotiation/Review,2026-11-17,173035,New Customer,Trade Show,Corporate retail supply contract
Global Mobile Order 69,Negotiation/Review,2026-04-13,252452,New Customer,Web,Corporate retail supply contract
Value Furniture Order 70,Negotiation/Review,2026-01-12,315847,New Customer,Partner Referral,Store expansion procurement order
Elite Fashion Order 71,Prospecting,2026-08-11,176213,Existing Customer - Upgrade,Web,Consumer appliance bulk order
Royal Electronics Order 72,Proposal/Price Quote,2026-04-20,427059,New Customer,Trade Show,Consumer appliance bulk order
Elite Appliances Order 73,Negotiation/Review,2026-08-22,227481,New Customer,Social Media,Retail electronics purchase order
Urban Lifestyle Order 74,Closed Won,2026-10-07,355125,Existing Customer - Upgrade,Social Media,Consumer appliance bulk order
Fresh Electronics Order 75,Proposal/Price Quote,2026-11-05,134424,Existing Customer - Upgrade,Email Campaign,Corporate retail supply contract
Quick Groceries Order 76,Closed Lost,2026-08-09,150600,Existing Customer - Replacement,Trade Show,Bulk wholesale inventory purchase
Urban Fashion Order 77,Proposal/Price Quote,2026-06-26,265138,New Customer,Email Campaign,Bulk wholesale inventory purchase
Prime Groceries Order 78,Qualification,2026-12-25,137576,Existing Customer - Upgrade,Web,Consumer appliance bulk order
Smart Fashion Order 79,Negotiation/Review,2026-08-18,228240,Existing Customer - Replacement,Trade Show,Consumer appliance bulk order
Smart Mobile Order 80,Qualification,2026-03-31,205867,Existing Customer - Replacement,Trade Show,Retail electronics purchase order
Value Mobile Order 81,Needs Analysis,2026-05-24,-5000,Existing Customer - Replacement,Email Campaign,Store expansion procurement order
Quick Appliances Order 82,Qualification,2026-08-17,99420,Existing Customer - Upgrade,Trade Show,Retail electronics purchase order
Elite Mobile Order 83,Closed Won,2026-08-23,470037,Existing Customer - Upgrade,Trade Show,Bulk wholesale inventory purchase
Royal Lifestyle Order 84,Prospecting,2026-07-05,126309,New Customer,Web,Bulk wholesale inventory purchase
Fresh Electronics Order 85,Closed Won,2026-12-04,-5000,Existing Customer - Replacement,Partner Referral,Consumer appliance bulk order
Elite Fashion Order 86,Prospecting,2026-04-24,496866,Existing Customer - Upgrade,Email Campaign,Fashion retail seasonal order
Urban Electronics Order 87,Proposal/Price Quote,2026-11-16,462077,Existing Customer - Upgrade,Web,Bulk wholesale inventory purchase
Global Appliances Order 88,Closed Won,2026-10-21,260926,Existing Customer - Replacement,Web,Store expansion procurement order
Mega Appliances Order 89,Proposal/Price Quote,2026-07-05,457303,Existing Customer - Replacement,Social Media,Consumer appliance bulk order
Prime Mobile Order 90,Qualification,2026-09-24,344816,New Customer,Partner Referral,Corporate retail supply contract
Quick Groceries Order 91,Negotiation/Review,2026-05-18,486005,Existing Customer - Replacement,Phone Inquiry,Retail electronics purchase order
Fresh Lifestyle Order 92,Needs Analysis,2026-06-03,147370,New Customer,Social Media,Fashion retail seasonal order
Modern Mobile Order 93,Proposal/Price Quote,2026-05-21,482103,New Customer,Phone Inquiry,Store expansion procurement order
Modern Mobile Order 94,Qualification,2026-10-18,89279,New Customer,Email Campaign,Store expansion procurement order
Value Fashion Order 95,Needs Analysis,2026-04-03,55711,Existing Customer - Replacement,Social Media,Store expansion procurement order
Elite Fashion Order 96,Needs Analysis,2026-10-27,220130,Existing Customer - Replacement,Trade Show,Store expansion procurement order
Quick Appliances Order 97,Negotiation/Review,2026-02-28,190243,Existing Customer - Upgrade,Email Campaign,Retail electronics purchase order
Value Electronics Order 98,Qualification,2026-05-07,324652,Existing Customer - Replacement,Phone Inquiry,Fashion retail seasonal order
Elite Lifestyle Order 99,Prospecting,2026-02-20,186215,New Customer,Social Media,Retail electronics purchase order
Royal Groceries Order 100,Proposal/Price Quote,2026-06-02,480148,Existing Customer - Upgrade,Phone Inquiry,Bulk wholesale inventory purchase
